batsman,total_runs,highest_score,total_balls,fours,sixes,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,catches,stumpings,run_outs
A Ashish Reddy,274,6,936,16,14,29.27350427,264,389,256,42,9.261904762,0,0,0
A Badoni,370,6,2681,22,15,13.80082059,13,11,13,2,5.5,0,0,0
A Chandila,4,1,22,0,0,18.18181818,234,242,234,39,6.205128205,0,0,0
A Chopra,58,4,636,7,0,9.119496855,0,0,0,0,0,0,0,0
A Choudhary,25,6,96,1,1,26.04166667,108,144,101,16,9,0,0,0
A Dananjaya,4,2,15,0,0,26.66666667,25,47,24,4,11.75,0,0,0
A Flintoff,72,6,542,5,2,13.28413284,66,105,66,11,9.545454545,0,0,0
A Kumble,42,4,129,3,0,32.55813953,983,1058,965,160,6.6125,0,0,0
A Manohar,230,6,1655,20,10,13.89728097,0,0,0,0,0,0,0,0
A Mishra,421,6,3300,31,5,12.75757576,3359,4043,3287,547,7.391224863,0,0,0
A Mithun,37,6,63,4,1,58.73015873,312,472,288,48,9.833333333,0,0,0
A Mukund,20,4,231,1,0,8.658008658,0,0,0,0,0,0,0,0
A Nehra,49,6,265,3,1,18.49056604,1949,2464,1884,314,7.847133758,0,0,0
A Nortje,44,4,169,6,0,26.03550296,933,1247,898,149,8.369127517,0,0,0
A Singh,3,1,6,0,0,50,486,620,473,78,7.948717949,0,0,0
A Symonds,1028,6,10935,74,41,9.401005944,540,674,527,87,7.747126437,0,0,0
A Tomar,4,4,28,1,0,14.28571429,0,0,0,0,0,0,0,0
A Uniyal,4,1,21,0,0,19.04761905,38,66,36,6,11,0,0,0
A Zampa,16,4,76,1,0,21.05263158,401,505,395,65,7.769230769,0,0,0
AA Bilakhia,78,4,722,5,0,10.8033241,0,0,0,0,0,0,0,0
AA Chavan,12,4,28,2,0,42.85714286,255,326,248,41,7.951219512,0,0,0
AA Jhunjhunwala,235,6,2695,19,5,8.719851577,88,129,85,14,9.214285714,0,0,0
AA Noffke,11,4,45,1,0,24.44444444,25,40,24,4,10,0,0,0
AB Agarkar,192,6,1071,13,5,17.92717087,813,1137,776,129,8.813953488,0,0,0
AB Barath,44,6,430,5,1,10.23255814,0,0,0,0,0,0,0,0
AB Dinda,30,4,107,2,0,28.03738318,1570,2034,1498,249,8.168674699,0,0,0
AB McDonald,130,6,910,9,4,14.28571429,176,244,174,29,8.413793103,0,0,0
AB de Villiers,5162,7,51102,395,245,10.1013659,0,0,0,0,0,0,0,0
AC Blizzard,126,6,830,21,2,15.18072289,0,0,0,0,0,0,0,0
AC Gilchrist,2215,6,22263,239,92,9.949243139,1,0,1,0,0,0,0,0
AC Thomas,20,6,57,1,1,35.0877193,309,391,297,49,7.979591837,0,0,0
AC Voges,190,6,1610,15,3,11.80124224,56,76,54,9,8.444444444,0,0,0
AD Hales,152,6,1582,13,6,9.608091024,0,0,0,0,0,0,0,0
AD Mascarenhas,53,6,163,3,1,32.51533742,286,327,284,47,6.957446809,0,0,0
AD Mathews,764,6,6777,44,29,11.27342482,807,1079,791,131,8.236641221,0,0,0
AD Nath,91,6,593,7,2,15.34569983,0,0,0,0,0,0,0,0
AD Russell,2306,7,13587,145,187,16.97210569,1552,2294,1491,248,9.25,0,0,0
AF Milne,25,6,164,0,1,15.24390244,217,327,207,34,9.617647059,0,0,0
AG Murtaza,10,4,36,1,0,27.77777778,269,313,264,44,7.113636364,0,0,0
AG Paunikar,56,4,416,9,0,13.46153846,0,0,0,0,0,0,0,0
AJ Finch,2184,7,24623,207,77,8.869755919,44,67,43,7,9.571428571,0,0,0
AJ Hosein,17,6,59,1,1,28.81355932,24,40,24,4,10,0,0,0
AJ Turner,4,1,28,0,0,14.28571429,0,0,0,0,0,0,0,0
AJ Tye,77,6,244,4,3,31.55737705,708,974,678,113,8.619469027,0,0,0
AK Markram,788,6,7632,55,31,10.32494759,110,157,109,18,8.722222222,0,0,0
AL Menaria,416,7,3802,24,18,10.94160968,113,144,110,18,8,0,0,0
AM Nayar,722,6,5005,55,20,14.42557443,239,322,229,38,8.473684211,0,0,0
AM Rahane,4441,6,60504,443,93,7.340010578,6,5,6,1,5,0,0,0
AN Ahmed,38,6,132,4,1,28.78787879,362,498,344,57,8.736842105,0,0,0
AN Ghosh,7,4,21,1,0,33.33333333,0,0,0,0,0,0,0,0
AP Dole,35,6,177,3,1,19.7740113,73,112,66,11,10.18181818,0,0,0
AP Majumdar,90,6,800,7,2,11.25,0,0,0,0,0,0,0,0
AP Tare,365,6,2324,40,11,15.70567986,0,0,0,0,0,0,0,0
AR Bawne,12,4,78,1,0,15.38461538,0,0,0,0,0,0,0,0
AR Patel,1477,7,9818,87,69,15.04379711,2808,3351,2763,460,7.284782609,0,0,0
AS Joseph,28,4,185,3,0,15.13513514,390,576,376,62,9.290322581,0,0,0
AS Rajpoot,27,6,124,2,1,21.77419355,567,815,529,88,9.261363636,0,0,0
AS Raut,178,6,1200,12,5,14.83333333,30,44,30,5,8.8,0,0,0
AS Roy,23,4,60,3,0,38.33333333,108,131,102,17,7.705882353,0,0,0
AS Yadav,52,6,144,5,2,36.11111111,0,0,0,0,0,0,0,0
AT Carey,34,6,144,0,1,23.61111111,0,0,0,0,0,0,0,0
AT Rayudu,4515,7,49321,359,173,9.154315606,0,0,0,0,0,0,0,0
AU Rashid,24,6,75,2,1,32,60,91,60,10,9.1,0,0,0
AUK Pathan,42,6,48,5,2,87.5,41,63,39,6,10.5,0,0,0
Abdul Basith,1,1,1,0,0,100,0,0,0,0,0,0,0,0
Abdul Samad,387,6,2212,20,24,17.4954792,55,113,54,9,12.55555556,0,0,0
Abdur Razzak,0,0,3,0,0,0,14,29,12,2,14.5,0,0,0
Abhishek Sharma,940,6,8075,92,31,11.64086687,229,324,222,37,8.756756757,0,0,0
Abishek Porel,34,6,122,1,2,27.86885246,0,0,0,0,0,0,0,0
Akash Deep,17,6,29,2,1,58.62068966,152,264,143,23,11.47826087,0,0,0
Aman Hakim Khan,126,6,1251,8,6,10.07194245,6,13,6,1,13,0,0,0
Anirudh Singh,66,6,985,6,1,6.700507614,0,0,0,0,0,0,0,0
Ankit Sharma,89,6,526,7,4,16.92015209,363,433,355,59,7.338983051,0,0,0
Ankit Soni,2,1,15,0,0,13.33333333,87,128,85,14,9.142857143,0,0,0
Anmolpreet Singh,135,6,1141,18,3,11.83172656,0,0,0,0,0,0,0,0
Anuj Rawat,238,6,2418,16,11,9.842845327,0,0,0,0,0,0,0,0
Anureet Singh,40,6,281,2,1,14.23487544,380,547,364,60,9.116666667,0,0,0
Arjun Tendulkar,13,6,36,0,1,36.11111111,68,92,59,9,10.22222222,0,0,0
Arshad Khan,18,6,52,0,1,34.61538462,97,190,85,14,13.57142857,0,0,0
Arshdeep Singh,30,4,172,3,0,17.44186047,1108,1512,1044,174,8.689655172,0,0,0
Atharva Taide,196,6,1962,20,6,9.98980632,0,0,0,0,0,0,0,0
Avesh Khan,32,6,40,2,3,80,1017,1414,982,163,8.674846626,0,0,0
Azhar Mahmood,409,6,3817,39,13,10.71522138,552,700,537,89,7.865168539,0,0,0
B Akhil,80,6,181,5,5,44.19889503,193,242,188,31,7.806451613,0,0,0
B Chipli,292,6,2438,28,7,11.97703035,6,20,6,1,20,0,0,0
B Indrajith,22,4,165,2,0,13.33333333,0,0,0,0,0,0,0,0
B Kumar,309,6,1490,27,3,20.73825503,3678,4367,3544,590,7.401694915,0,0,0
B Laughlin,5,1,42,0,0,11.9047619,179,282,168,28,10.07142857,0,0,0
B Lee,133,6,362,8,8,36.74033149,916,1095,875,145,7.551724138,0,0,0
B Sai Sudharsan,533,7,6703,47,15,7.951663434,0,0,0,0,0,0,0,0
B Stanlake,5,4,3,1,0,166.6666667,150,200,144,24,8.333333333,0,0,0
B Sumanth,36,4,264,3,0,13.63636364,0,0,0,0,0,0,0,0
BA Bhatt,6,6,18,0,1,33.33333333,303,397,296,49,8.102040816,0,0,0
BA Stokes,967,6,10061,81,32,9.611370639,723,992,689,114,8.701754386,0,0,0
BAW Mendis,3,1,7,0,0,42.85714286,219,266,216,36,7.388888889,0,0,0
BB McCullum,3089,7,38188,292,130,8.088928459,0,0,0,0,0,0,0,0
BB Samantray,132,6,1863,13,2,7.085346216,0,0,0,0,0,0,0,0
BB Sran,12,2,22,0,0,54.54545455,503,733,471,78,9.397435897,0,0,0
BCJ Cutting,251,6,775,15,19,32.38709677,288,429,281,46,9.326086957,0,0,0
BE Hendricks,1,1,3,0,0,33.33333333,157,235,150,25,9.4,0,0,0
BJ Haddin,18,6,55,2,1,32.72727273,0,0,0,0,0,0,0,0
BJ Hodge,1472,6,15613,122,43,9.428040735,238,303,234,39,7.769230769,0,0,0
BJ Rohrer,191,6,1798,19,5,10.62291435,7,12,6,1,12,0,0,0
BMAJ Mendis,23,2,172,0,0,13.37209302,30,36,30,5,7.2,0,0,0
BR Dunk,44,4,250,7,0,17.6,0,0,0,0,0,0,0,0
Basil Thampi,34,6,136,1,1,25,466,731,449,74,9.878378378,0,0,0
Bipul Sharma,190,6,672,11,9,28.27380952,436,572,426,71,8.056338028,0,0,0
C Green,469,7,4332,40,22,10.82640813,239,361,228,38,9.5,0,0,0
C Madan,22,4,201,3,0,10.94527363,0,0,0,0,0,0,0,0
C Munro,185,6,1180,19,8,15.6779661,12,15,12,2,7.5,0,0,0
