Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Ball Rebowled,Extra Type ,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Runs to Get,Balls Remaining,Winner,Chased Successfully,Total Batter Runs,Total Non Striker Runs,Batter Balls Faced,Non Striker Balls Faced,Player Out Runs,Player Out Balls Faced,Bowler Runs Conceded,Valid Ball,match_no,fielder
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,1,1,V Kohli,F du Plessis,DL Chahar,0,1,1,,['wides'],0,,,1,0,174,0,119,CSK,0,0,0,0,0,,,1,0,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,1,1,V Kohli,F du Plessis,DL Chahar,1,0,1,,[],0,,,2,0,174,0,119,CSK,0,1,0,1,0,,,1,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,1,2,F du Plessis,V Kohli,DL Chahar,0,0,0,,[],0,,,2,0,174,0,118,CSK,0,0,1,1,1,,,0,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,1,3,F du Plessis,V Kohli,DL Chahar,0,0,0,,[],0,,,2,0,174,0,117,CSK,0,0,1,2,1,,,0,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,1,4,F du Plessis,V Kohli,DL Chahar,0,0,0,,[],0,,,2,0,174,0,116,CSK,0,0,1,3,1,,,0,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,1,5,F du Plessis,V Kohli,DL Chahar,4,0,4,,[],0,,,6,0,174,0,115,CSK,0,4,1,4,1,,,4,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,1,6,F du Plessis,V Kohli,DL Chahar,1,0,1,,[],0,,,7,0,174,0,114,CSK,0,5,1,5,1,,,1,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,2,1,F du Plessis,V Kohli,TU Deshpande,4,0,4,,[],0,,,11,0,174,0,113,CSK,0,9,1,6,1,,,4,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,2,2,F du Plessis,V Kohli,TU Deshpande,0,0,0,,[],0,,,11,0,174,0,112,CSK,0,9,1,7,1,,,0,1,1,
202401,3/22/2024,"MA Chidambaram Stadium, Chepauk, Chennai, Chennai",RCB,CSK,1,2,3,F du Plessis,V Kohli,TU Deshpande,4,0,4,,[],0,,,15,0,174,0,111,CSK,0,13,1,8,1,,,4,1,1,
